anime_id,Name,Score,Genres,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped
32215,High School DxD BorN: Yomigaeranai Fushichou,7.44,"Action, Ecchi, Comedy, Harem, Romance, Demons, School",OVA,1,9-Dec-15,Unknown,"Genco, Lantis",Unknown,TNK,Light novel,24 min.,R+ - Mild Nudity,1763,1493,92915,241,1843,75467,669,479
32218,Choujikuu Seiki Orguss Memorial,6.51,"Action, Sci-Fi, Adventure, Romance, Mecha",OVA,2,"Mar 28, 1985 to May 28, 1985",Unknown,"Tokyo Movie Shinsha, Victor Entertainment",Unknown,Artland,Original,50 min. per ep.,PG-13 - Teens 13 or older,13674,13202,332,0,16,94,12,34
32219,Raldessia Chronicles,5.42,"Action, Adventure, Music",ONA,1,20-May-13,Unknown,DeNA,Unknown,Unknown,Game,46 sec.,G - All Ages,9868,12335,460,0,29,252,6,30
32221,Robocar Poli 2,6.51,"Cars, Police, Kids",TV,26,"Dec 26, 2011 to May 15, 2012",Winter 2012,RoiVisual,Unknown,Unknown,Original,11 min. per ep.,G - All Ages,11731,14546,224,1,12,107,7,60
32222,Youkai Watch Movie 3: Soratobu Kujira to Double Sekai no Daibouken da Nyan!,6.34,"Comedy, Kids, Supernatural",Movie,1,17-Dec-16,Unknown,Unknown,Unknown,OLM,Game,1 hr. 30 min.,G - All Ages,6693,10301,1073,2,24,484,14,63
32228,Teekyuu 7,6.68,"Comedy, Shounen, Sports",TV,12,"Jan 12, 2016 to Mar 29, 2016",Winter 2016,"DAX Production, Earth Star Entertainment",Unknown,Millepensee,Manga,2 min. per ep.,PG-13 - Teens 13 or older,5024,4404,13118,14,377,9726,157,153
32230,Xi You Ji,6.89,"Adventure, Fantasy",TV,52,1999 to ?,Unknown,CCTV Animation,Unknown,Unknown,Novel,22 min. per ep.,PG - Children,4095,11925,545,7,31,256,13,70
32233,Micchiri Neko March,7.38,Music,Music,1,2-Apr-13,Unknown,Frencel,Unknown,Unknown,Web manga,3 min.,G - All Ages,2007,8867,1977,15,27,1771,3,37
32238,"Watashi wa, Kairaku Izonshou",6.2,Hentai,OVA,2,"Feb 26, 2016 to May 20, 2016",Unknown,Queen Bee,Unknown,Unknown,Manga,20 min. per ep.,Rx - Hentai,,7112,3966,8,582,2101,239,230
32239,Shinsei: Futanari Idol - Dekatama-kei!,6.6,Hentai,OVA,2,"Feb 26, 2016 to Feb 3, 2017",Unknown,Unknown,Unknown,Studio 9 MAiami,Visual novel,28 min. per ep.,Rx - Hentai,,5812,6559,45,699,3878,305,282
